Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularité;Photo
Colisa chuna;Colisa;chuna;Inde;5;neutre;moyenne;25;100;Couple;Bon;empty;Ovipare;Carnivore;empty;Photo/AquapagnonLogo.jpg
Colisa lalia;Colisa;lalia;Asie du SE;6;neutre;moyenne;25;80;Couple;Bon;Aisée;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Colisa lippu;Colisa;labiosa;Asie du SE;10;neutre;moyenne;25;100;Couple;Bon;Possible;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Colisa rayé;Colisa;fasciata;Asie du SE;12;neutre;moyenne;25;200;1 individu ou couple;Satisfaisant;empty;Ovipare;Carnivore;empty;Photo/AquapagnonLogo.jpg
Combattant;Betta;splendens;Asie du SE;7;neutre;moyenne;25;80;Couple;Bon;Aisée;Ovipare;Carnivore;Pas 2 males ensemble sous risque d'assister à de combats à mort;Photo/AquapagnonLogo.jpg
Ctenopoma à ocelle;Ctenopoma;ocellatum;Zaîre;14;neutre;moyenne;25;200;Groupe de 5;Satisfaisant;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Ctenopoma argenté;Ctenopoma;argentoven;Niger;20;neutre;moyenne;24;200;Groupe de 5;Satisfaisant;empty;Ovipare;Omnivore;Mais apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Ctenopoma léopard;Ctenopoma;acutirostre;Afrique;15;neutre;dure;24;200;Groupe de 5;Satisfaisant;empty;Ovipare;Omnivore;Mais apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Ctenopoma nain;Ctenopoma;nanum;Zaîre;8;acide;douce;25;100;Groupe de 5;Bon;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Ctenopoma œil de paon;Ctenopoma;oxyrhynchum;Zaîre;10;neutre;moyenne;27;200;Groupe de 5;Satisfaisant;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Ctenopoma orange;Ctenopoma;ansorgii;Afrique;7;neutre;moyenne;27;100;Groupe de 5;Satisfaisant;empty;Ovipare;Omnivore;Mais apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Ctenopoma tacheté;Ctenopoma;maculatus;Afrique;20;neutre;moyenne;25;200;Groupe de 5;Satisfaisant;empty;Ovipare;Omnivore;Mais apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Gourami bleu;Trichogaster;trichopterus;Asie du SE;15;neutre;moyenne;25;200;Couple;Bon;Assez facile;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Gourami chocolat;Sphaerichthys;osphromenoïdes;Asie du SE;5;neutre;douce;26;100;1 individu ou couple;Bon;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Gourami clair de lune;Trichogaster;microlepis;Asie du SE;18;neutre;moyenne;28;300;Groupe de 5;Bon;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Gourami grogneur;Trichopsis;vittata;Asie du SE;6;neutre;douce;25;100;Groupe de 5;Bon;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Gourami grogneur nain;Trichopsis;pumilus;Asie du SE;3;neutre;moyenne;26;100;Groupe de 5;Bon;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Gourami miel;Colisa;sota;Asie du SE;5;neutre;moyenne;25;80;Couple;Bon;Aisée;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Gourami perlé;Trichogaster;leeri;Asie du SE;12;neutre;moyenne;25;200;Couple;Bon;Possible;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Kissing Gourami;Helostoma;temmincki;Asie du SE;10;neutre;moyenne;25;100;Couple;Satisfaisant;Très difficile;Ovipare;Omnivore;La taille de la nourriture doit etre tres petite. Friand d'épinards cuits;Photo/AquapagnonLogo.jpg
Macropode;Macropodus;opercularis;Asie du SE;8;neutre;moyenne;25;80;Couple;Très mauvais;Facile;Ovipare;Proies vivante;Supporte mal les ecarts de température mais accepte des températures basse;Photo/AquapagnonLogo.jpg
Macropode de Ceylan;Belontia;signata;Asie du SE;13;neutre;moyenne;26;200;Couple;Bon;empty;Ovipare;Végétarien;empty;Photo/AquapagnonLogo.jpg
Macropode de Chine;Macropodus;chinensis;Asie du SE;10;neutre;moyenne;25;100;Couple;Bon;Aisée;Ovipare;Proies vivante;empty;Photo/AquapagnonLogo.jpg
Macropode noir;Macropodus;concolr;Asie du SE;12;neutre;moyenne;23;100;1 individu ou couple;Bon;empty;Ovipare;Carnivore;empty;Photo/AquapagnonLogo.jpg
Perche grimpeuse;Anabas;testudineus;Indes;25;neutre;moyenne;25;500;Groupe de 5;Satisfaisant;empty;Ovipare;Proies vivante;empty;Photo/AquapagnonLogo.jpg
