Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularités;Photo
Callichtys;Callychtys;callychtys;Urugay;12;acide;douce;24;200;Groupe de 5;Satisfaisant;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Coridoras de Sterba;Corydoras;sterbais;Amérique du sud;5;neutre;moyenne;23;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Coriydoras reticulé;Corydoras;reticulatus;Brésil;6;neutre;moyenne;24;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Corydoras;Corydoras;trinileatus;Amazonie froide;5;acide;douce;23;80;Groupe de 5;Très bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras;Corydoras;melanistius;Venezuela;6;acide;douce;24;100;Groupe de 5;Très bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras à bandes;Corydoras;schultzei;Amazonie froide;10;acide;douce;24;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras à dos noir;Corydoras;metae;Colombie;6;acide;douce;24;100;Groupe de 5;Très bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras bleu;Corydoras;nattereri;Brésil;8;neutre;dure;24;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras chabraque;Corydoras;barbatus;Brésil;13;acide;douce;23;200;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Corydoras croissant;Corydoras;hastatus;Amazonie froide;10;acide;douce;24;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras fuselé;Corydoras;arcuatus;Brésil;4;neutre;dure;24;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Corydoras léopard;Corydoras;julii;Brésil;6;acide;douce;24;100;Groupe de 5;Très bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras melino;Corydoras;melino;Colombie;6;acide;douce;24;100;Groupe de 5;Très bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras métallisé;Corydoras;aeneus;Amazonie froide;10;acide;douce;23;80;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras nain;Corydoras;pygmaeus;Brésil;3;neutre;moyenne;24;80;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Corydoras orné;Corydoras;ornatus;Brésil;6;acide;douce;24;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Corydoras pointillé;Corydoras;gracilis;Brésil;2;neutre;dure;24;80;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Corydoras poivré;Corydoras;paleatus;Amazonie froide;5;acide;douce;23;80;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydoras rose;Corydoras;axelrodi;Colombie;5;neutre;moyenne;24;80;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;Poisson de fond par excellence;Photo/AquapagnonLogo.jpg
Corydras rabauti;Corydoras;rabauti;Brésil;6;basique;dure;24;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Poisson cuirassé vert;Brochis;splendens;Brésil;8;neutre;dure;24;100;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Silure à bandes noire;Dianema;urostriata;Brésil;15;basique;dure;24;200;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Silure grenaille;Dianema;longibarbis;Pérou;12;neutre;dure;24;200;Groupe de + 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
