Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularités;Photo
Anomalus;Nannostomus;anomalus;Guyane;5;acide;douce;26;80;Groupe de 5;Très bon;Délicate;ovipares;omnivore;timide, adore petites proies;Photo/AquapagnonLogo.jpg
Anostome à trois taches;Anostomus;trimaculatus;Amazonie;20;neutre;moyenne;25;300;Groupe de 5;Bon;empty;ovipares;végétarien;empty;Photo/AquapagnonLogo.jpg
Anostome cuivré;Anostomus;taeniatus;Amazonie;12;neutre;moyenne;25;200;Groupe de 5;Bon;empty;ovipares;végétarien;empty;Photo/AquapagnonLogo.jpg
Anostome doré;Anostomus;ternetzi;Amazonie;18;neutre;moyenne;25;300;Groupe de 5;Bon;empty;ovipares;végétarien;empty;Photo/AquapagnonLogo.jpg
Blood fin;Aphyocharax;rubripinnis;Amazonie froide;5;neutre;douce;22;80;Groupe de 5;Très bon;Délicate;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Characidé brillant;Chalceus;macrolepidotus;Amazonie;25;neutre;moyenne;25;300;Groupe de 5;Moyen;empty;ovipares;carnassier;empty;Photo/AquapagnonLogo.jpg
Characidés à une bande;Nannaethiops;unitaeniatus;Afrique;6;neutre;douce;24;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Characin à dos haut;Ctenobrycon;spilurus;Amazonie;9;neutre;moyenne;24;200;Groupe de 5;Satisfaisant;empty;ovipares;végétarien;empty;Photo/AquapagnonLogo.jpg
Characin à queue rouge;Prionobrama;filigera;Amazonie;6;neutre;moyenne;25;200;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Characin bréme;Abramites;hypselonotus;Amazonie;14;neutre;douce;25;200;Groupe de 5;Satisfaisant;empty;ovipares;végétarien;empty;Photo/AquapagnonLogo.jpg
Characin d'ansorge;Neolebias;ansorgei;Afrique;4;neutre;moyenne;25;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Characin disque;Poptella;orbicularis;Amazonie;12;acide;moyenne;22;200;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Characin losange;Astyanax;bimaculatus;Amérique du sud;15;neutre;moyenne;24;200;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Characin pointillé;Triportheus;angulatus;Amazonie;20;neutre;moyenne;25;300;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Characin verre;Asiphonichthys;condei;Amazonie;10;neutre;moyenne;24;200;Groupe de 5;Moyen;empty;ovipares;carnassier;empty;Photo/AquapagnonLogo.jpg
Chilodus;Chilodus;punctatus;Amazonie;9;neutre;douce;25;200;Groupe de 5;Timide- très bon;Pas connue;ovipares;végétarien;empty;Photo/AquapagnonLogo.jpg
Coeur saignant;Hyphessobrycon;socoloffi;Amazonie;5;acide;douce;25;80;Groupe de 5;Bon;Délicate;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Corynopoma nain;Corynopoma;riisei;Amazonie;6;neutre;moyenne;24;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Distichodus à nageoires rouge;Distichodus;affinis;Afrique;13;neutre;moyenne;24;200;Groupe de 5;Bon;empty;ovipares;végétarien;empty;Photo/AquapagnonLogo.jpg
Distichodus nain;Distichodus;decemmaculatus;Afrique;8;neutre;moyenne;24;100;Groupe de 5;Bon;empty;ovipares;végétarien;empty;Photo/AquapagnonLogo.jpg
