Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularités;Photo
Barbus cerise;Barbus;titteya;Indes;5;neutre;moyenne;25;80;Groupe de 5;Bon;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus clown;Barbus;everetti;Asie du SE;13;neutre;moyenne;25;500;Groupe de 5;Satisfaisant;Délicate;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus de Sumatra;Puntius;tetrazona;Indes;7;neutre;moyenne;25;100;Groupe de 5;Bon;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus doré;Barbus;schuberti;Asie du SE;6;neutre;moyenne;25;100;Groupe de 5;Satisfaisant;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus laiton;Barbus;semifasciolatus;Asie du SE;7;neutre;moyenne;25;100;Groupe de 5;Bon;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus lateristriga;Barbus;lateristriga;Asie du SE;13;acide;douce;25;500;Groupe de 5;Bon;Délicate;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus nigro;Puntius;nigrofasciatus;Indes;6;neutre;moyenne;25;80;Groupe de 5;Bon;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus oligolepis;Barbus;oligolepis;Asie du SE;4;neutre;moyenne;25;100;1 male/3 femelles;Très bon;Possible;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus rosé;Puntius;conchonius;Indes;7;neutre;moyenne;25;200;Groupe de 5;Bon;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Barbus Sumatra/tigre;Barbus;hexazona;Asie du SE;6;neutre;moyenne;25;100;Groupe de 5;Satisfaisant;Possible;ovipare;omnivore;Ne pas mettre avec des poissons aux grandes nageoires;Photo/AquapagnonLogo.jpg
Danio malabar;Danio;malabarus;Indes;12;neutre;moyenne;25;100;Groupe de 5;Satisfaisant;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Danio rerio;Brachydanio;rerio;Indes;4;neutre;moyenne;25;80;Groupe de 5;Bon;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Labeo;Labeo;bicolor;Asie du SE;15;neutre;moyenne;25;200;Un individu;Territorial;Inconnue;ovipare;Végétarien;empty;Photo/AquapagnonLogo.jpg
Poisson ciseau;Rasbora;trinileata;Asie du SE;7;neutre;douce;25;200;Groupe de 5;Satisfaisant;Délicate;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Poisson rouge;Carassius;auratus;Asie du SE;30;neutre;moyenne;15;80 à 500;Groupe de 5;Bon;Possible;ovipare;omnivore;Plusieurs types existent;Photo/AquapagnonLogo.jpg
Rasbora arlequin;Rasbora;heteromorpha;Asie du SE;4;acide;douce;25;80;Groupe de 5;Bon;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Rasbora dorsiocellata;Rasbora;dorsiocellata;Indes;5;acide;douce;25;100;Groupe de 5;Très bon;Possible;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Rasbora maculata;Rasbora;maculata;Asie du SE;2;acide;douce;25;80;Groupe de 5;Très bon;Aisée;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
Tanichthys;Tanichthys;albonubes;Asie du SE;4;neutre;moyenne;23;80;Groupe de 5;Bon;Possible;ovipare;omnivore;empty;Photo/AquapagnonLogo.jpg
