Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularités;Photo
Aphyo bleu;Aphyosemion;sjoesdtedti;Cameroun;12;acide;douce;24;100;1mâle/4 femelles;Territorial;Possible;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Aphyo strié rouge;Aphyosemion;striatum;Cyprinodontidés;6;acide;douce;24;100;1mâle/4 femelles;Territorial;Possible;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Aphyo Walkeri;Aphyosemion;Spurelli;Ghana;6;acide;douce;24;80;1 mâle/3 femelles;Bon;Aisée;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Cap Lopez;Aphyosemion;Australe;Gabon;6;acide;douce;24;80;1 mâle/3 femelles;Satisfaisant;Aisée;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Chaperi/Epylatis rayé;Epiplatys;dageti montroviae;Liberia;5;neutre;moyenne;25;200;1 mâle/3 femelles;Satisfaisant;Difficile;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Cuban Rivulus;Rivulus;cylindraceus;Cuba;5;acide;douce;24;200;1 mâle/3 femelles;Bon;Assez facile;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Cynolebias évantail;Cynolebias;nigripinnis;Cyprinodontidés;5;acide;douce;24;80;1mâle/4 femelles;Territorial;Aisée;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Egerssi;Nothobranchius;eggersi;Cyprinodontidés;5;acide;douce;24;80;1mâle/4 femelles;Territorial;Aisée;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Golden ear;Fundulus;chrysotus;Etats-Unis;8;neutre;dure;25;100;1 mâle/3 femelles;Satisfaisant;Difficile;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Killi du Tanganyika;Lamprichthys;tanganicanus;Killis du Tanganyika;13;basique;dure;26;200;Groupe de 5;Bon;Assez facile;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Pachypanchax;Pachypanchax;playfairi;Mozambique;9;neutre;moyenne;25;100;1 mâle/3 femelles;Mauvais;Aisée;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Panchax bleu;Aplocheilus;panchax;Indes;8;acide;douce;25;200;1mâle/4 femelles;Satisfaisant;Possible;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Panchax rayé;Aplocheilus;lineatus;Cyprinodontidés;10;acide;douce;24;100;1mâle/4 femelles;Territorial;Aisée;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
Pearl fish;Cynolebias;belloti;Argentine;7;acide;douce;26;200;1 mâle/3 femelles;Territorial;Assez facile;Ovipare;Omnivore;Apprécie les proies vivantes;Photo/AquapagnonLogo.jpg
