Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularités;Photo
Athérine rayon de soleil;Telmatherina;ladigesi;Asie du SE;7;basique;dure;25;100;Groupe;Bon;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Bedotia;Bedotia;geayi;Madagascar;15;neutre;moyenne;23;500;Goupe;Bon;empty;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Loche clown;Botia;macracantha;Asie du SE;15;neutre;moyenne;25;300;Groupe de 5;Bon;Inconnue;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Kulhi;Kulhi;Acanthophthalmus;Indonésie;8;neutre;moyenne;24;100;Groupe;Très bon;Possible;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
Poisson abeille;Brachygobius;xanthozona;Indonésie;4;basique;dure;24;200;Groupe de 10;Satisfaisant;Délicate;Ovipare;Proies vivante;empty;Photo/AquapagnonLogo.jpg
Pusillus/Demi-bec;Dermogenys;pusillus;Asie du SE;7;basique;dure;24;200;1 male/3 femelles;Satisfaisant;Délicate;Ovipare;Proies vivante;empty;Photo/AquapagnonLogo.jpg
Characin arroseur;Copella;arnoldi;Amazonie;7;acide;douce;26;100;Groupe de 5;Bon;Assez facile;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
zebra;Hypancistrus;zebra;Amazonie froide;15;acide;douce;23;200;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;empty;Photo/AquapagnonLogo.jpg
nigrolineatus;Panaque;nigrolineatus;Amazonie froide;15;acide;douce;23;200;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;Poisson de fond appréciant l'obscurité;Photo/AquapagnonLogo.jpg
aureatus;Scobinancistrus;aureatus;Amazonie froide;15;acide;douce;23;200;Groupe de 5;Bon;Délicate;Ovipare;Omnivore;Bac spécifique nécessaire poisson d'eau saumatre;Photo/AquapagnonLogo.jpg
Gyrino/Laveur;Gyrinocheilus;aymonieri;Thaîlande;15;neutre;moyenne;24;200;Groupe;Bon;Inconnue;Ovipare;Végétarien;Bac spécifique nécessaire poisson d'eau saumatre;Photo/AquapagnonLogo.jpg
Loricaria parva;Loricaria;parva;Brésil;12;neutre;moyenne;24;200;Groupe;Bon;Rare;Ovipare;Omnivore;Attention ils aiment bien se fixer sur leurs compagnons;Photo/AquapagnonLogo.jpg
Otocinclus;Otocinclus;otocinclus;Brésil;5;neutre;douce;24;100;Groupe;Très bon;Possible;Ovipare;Végétarien;Mangeurs d'algues à l'occasion;Photo/AquapagnonLogo.jpg
Pléco/laveur;Plecostomus;plécostomus;Brésil;30;neutre;moyenne;23;200;Groupe;Satisfaisant;Rare;Ovipare;Végétarien;Leur fornir un bac très bien planté sous risque de les perdre;Photo/AquapagnonLogo.jpg
Spiny eel;Macrognathus;aculeatus;Asie du SE;20;neutre;moyenne;24;200;Un individu;Douteux;Rare;Ovipare;Omnivore;Attention ce poisson peut facilement atteindre 40 cm;Photo/AquapagnonLogo.jpg
Mono;Monodactylus;argenteus;Fleuves côtiers;10;basique;dure;26;300;Groude de 5;Satisfaisant;Inconnue;Ovipare;Proies vivante;Attention il faut veillez a recouvrir le bac;Photo/AquapagnonLogo.jpg
Poisson éléphant;Gnathonemus;petersi;Afrique;20;neutre;moyenne;26;300;Un individu;Bon;Inconnue;Ovipare;Proies vivante;Bac spécifique nécessaire poisson d'eau saumatre;Photo/AquapagnonLogo.jpg
Badis/Perche bleue;Badis;badis;Indes;7;neutre;moyenne;25;100;1 male/3 femelles;Satisfaisant;Assez facile;Ovipare;Proies vivante;Poisson nocturne et timide;Photo/AquapagnonLogo.jpg
Poisson couteau;Xenomystus;nigri;Afrique;20;acide;douce;24;200;Un individu;Douteux;Inconnue;Ovipare;Proies vivante;empty;Photo/AquapagnonLogo.jpg
Poisson papilon;Pantodon;buchholzi;Niger;10;acide;douce;26;300;Un individu;Douteux;Rare;Ovipare;Proies vivante;Il faut le nourrir d'insectes. Poisson volant donc recouvrir le bac;Photo/AquapagnonLogo.jpg
Polycentrus;Polycentrus;shomburgki;Amérique centrale;8;acide;douce;26;200;1 male/3 femelles;Douteux;Possible;Ovipare;Carnivore;ne pas mettre avec des poissons plus petits que lui;Photo/AquapagnonLogo.jpg
Scato;Scatohalus;argus;Asie du SE;15;basique;dure;24;200;Groupe;Bon;Inconnue;Ovipare;Tout;Bac spécifique nécessaire poisson d'eau saumatre;Photo/AquapagnonLogo.jpg
Chanda/Perle de verre;Chanda;ranga;Indes;5;basique;dure;24;100;Groupe de 10;Bon;Possible;Ovipare;Proies vivante;Bien que transparent certains sont colorés par des procédés chimiques;Photo/AquapagnonLogo.jpg
Silure de verre;Kryptopterus;bicirrhis;Asie du SE;12;neutre;moyenne;25;200;Groupe de 5;Bon;Aisée;Ovipare;Proies vivante;Poisson transparent;Photo/AquapagnonLogo.jpg
Synodontis;Synodontis;nigriventris;Congo;6;acide;dure;25;100;Groupe de 5;Bon;Inconnue;Ovipare;Omnivore;Cet étrange poisson nage le ventre à l'air;Photo/AquapagnonLogo.jpg
Tétraodon;Tétraodon;fluvitilis;Asie du SE;7;basique;dure;25;200;Un individu;Douteux;Inconnue;Ovipare;Proies vivante;Bac spécifique nécessaire poisson d'eau saumatre;Photo/AquapagnonLogo.jpg
Toxote/Poisson archer;Toxotes;jaculator;Asie du SE;15;basique;dure;25;200;Groupe;Satisfaisant;Inconnue;Ovipare;Proies vivante;bac spécifique nécessaire poisson d'eau saumatre Se nourrit d'insectes qu'il attrape en vol;Photo/AquapagnonLogo.jpg
