Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularités;Photo
Black lyre;Poecilia;lyre;Amérique du sud;10;basique;dure;27;100;1mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;empty;Photo/AquapagnonLogo.jpg
Black molly;Poecilia;latipinna;Amérique du sud;10;basique;dure;27;100;1 mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;empty;Photo/AquapagnonLogo.jpg
Gambusie du Texas;Gambusia;affinis;Etats Unis;4;basique;dure;22;100;Groupe de 5;Bon;empty;Ovovipares;Végétarien;empty;Photo/AquapagnonLogo.jpg
Guppy;Poecilia;reticulata;Amérique du sud;4;basique;dure;27;80;1mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;De très nombreuses variétés de queues et couleurs;Photo/AquapagnonLogo.jpg
Molly tâcheté;Poecilia;sphenops;Amérique du sud;8;basique;dure;27;100;1mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;empty;Photo/AquapagnonLogo.jpg
Molly voile;Poecilia;velifera;Amérique du sud;12;basique;dure;27;200;1mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;empty;Photo/AquapagnonLogo.jpg
Platy;Xiphophorus;maculatus;Amérique du sud;5;basique;dure;27;80;1mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;empty;Photo/AquapagnonLogo.jpg
Platy variatus;Xiphophorus;variaus;Amérique du sud;6;basique;dure;27;80;1mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;empty;Photo/AquapagnonLogo.jpg
Poecilla tricolore;Limia;melanogaster;Jamaïque;4;basique;dure;25;100;Groupe de 5;Bon;empty;Ovovipares;Végétarien;empty;Photo/AquapagnonLogo.jpg
Poisson moustique;Heterandria;formosa;Etats Unis;2;basique;dure;23;80;Groupe de 5;Bon;empty;Ovovipares;Végétarien;empty;Photo/AquapagnonLogo.jpg
Porte-épée;Xiphophorus;helleri;Amérique du sud;15;basique;dure;27;200;1mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;Une femelle peut se transformer en mâle et n'être pas stérile;Photo/AquapagnonLogo.jpg
Porte-épée;Xiphophorus;montezumae;Amérique du sud;7;basique;dure;27;100;1mâle/4 femelles;Bon;Aisée;Ovovipares;Omnivore;Une femelle peut se transformer en mâle et n'être pas stérile;Photo/AquapagnonLogo.jpg
